Australian Bureau of Statistics,,,,,
,,,,,
"2021 Census - counting persons, place of usual residence",,,,,
"INGP Indigenous Status, LFSP Labour Force Status and SA3 (UR) by AGE5P Age in Five Year Groups",,,,,
Counting: Person Records,,,,,
,,,,,
Filters:,,,,,
Default Summation,Person Records,,,,
AGE5P Age in Five Year Groups,Over 15,,,,
,,,,,
Counting,AGE5P Age in Five Year Groups,INGP Indigenous Status,LFSP Labour Force Status,SA3 (UR),Count
Person Records,Over 15,Non-Indigenous,Not in the labour force,20101,31420
Person Records,Over 15,Non-Indigenous,Not in the labour force,20102,9013
Person Records,Over 15,Non-Indigenous,Not in the labour force,20103,9818
Person Records,Over 15,Non-Indigenous,Not in the labour force,20201,28402
Person Records,Over 15,Non-Indigenous,Not in the labour force,20202,15813
Person Records,Over 15,Non-Indigenous,Not in the labour force,20203,3637
Person Records,Over 15,Non-Indigenous,Not in the labour force,20301,4901
Person Records,Over 15,Non-Indigenous,Not in the labour force,20302,57159
Person Records,Over 15,Non-Indigenous,Not in the labour force,20303,26940
Person Records,Over 15,Non-Indigenous,Not in the labour force,20401,17916
Person Records,Over 15,Non-Indigenous,Not in the labour force,20402,14405
Person Records,Over 15,Non-Indigenous,Not in the labour force,20403,20078
Person Records,Over 15,Non-Indigenous,Not in the labour force,20501,16028
Person Records,Over 15,Non-Indigenous,Not in the labour force,20502,17377
Person Records,Over 15,Non-Indigenous,Not in the labour force,20503,24186
Person Records,Over 15,Non-Indigenous,Not in the labour force,20504,23690
Person Records,Over 15,Non-Indigenous,Not in the labour force,20505,14341
Person Records,Over 15,Non-Indigenous,Not in the labour force,20601,18697
Person Records,Over 15,Non-Indigenous,Not in the labour force,20602,10960
Person Records,Over 15,Non-Indigenous,Not in the labour force,20603,15343
Person Records,Over 15,Non-Indigenous,Not in the labour force,20604,30945
Person Records,Over 15,Non-Indigenous,Not in the labour force,20605,19952
Person Records,Over 15,Non-Indigenous,Not in the labour force,20606,13359
Person Records,Over 15,Non-Indigenous,Not in the labour force,20607,16912
Person Records,Over 15,Non-Indigenous,Not in the labour force,20701,45179
Person Records,Over 15,Non-Indigenous,Not in the labour force,20702,31818
Person Records,Over 15,Non-Indigenous,Not in the labour force,20703,30676
Person Records,Over 15,Non-Indigenous,Not in the labour force,20801,27788
Person Records,Over 15,Non-Indigenous,Not in the labour force,20802,36638
Person Records,Over 15,Non-Indigenous,Not in the labour force,20803,30039
Person Records,Over 15,Non-Indigenous,Not in the labour force,20804,10481
Person Records,Over 15,Non-Indigenous,Not in the labour force,20901,33051
Person Records,Over 15,Non-Indigenous,Not in the labour force,20902,24942
Person Records,Over 15,Non-Indigenous,Not in the labour force,20903,15557
Person Records,Over 15,Non-Indigenous,Not in the labour force,20904,61888
Person Records,Over 15,Non-Indigenous,Not in the labour force,21001,17767
Person Records,Over 15,Non-Indigenous,Not in the labour force,21002,7591
Person Records,Over 15,Non-Indigenous,Not in the labour force,21003,20659
Person Records,Over 15,Non-Indigenous,Not in the labour force,21004,10281
Person Records,Over 15,Non-Indigenous,Not in the labour force,21005,57075
Person Records,Over 15,Non-Indigenous,Not in the labour force,21101,41781
Person Records,Over 15,Non-Indigenous,Not in the labour force,21102,7288
Person Records,Over 15,Non-Indigenous,Not in the labour force,21103,28655
Person Records,Over 15,Non-Indigenous,Not in the labour force,21104,17645
Person Records,Over 15,Non-Indigenous,Not in the labour force,21105,38364
Person Records,Over 15,Non-Indigenous,Not in the labour force,21201,24917
