ind,sa3,nilf,unemployed,employed,unemp_rate,part_rate,emp_pop
Non-Aboriginal,20101,31449,2591,53613,0.04609992171375703,0.6412102266893318,0.6116504854368932
Non-Aboriginal,20102,9013,524,14055,0.03594210851224364,0.6179637165140726,0.5957527975584944
Non-Aboriginal,20103,9831,487,9977,0.046540519877675844,0.5155949741315595,0.4915989159891599
Non-Aboriginal,20201,28421,2056,46794,0.04208802456499488,0.632190601907572,0.6055829483247273
Non-Aboriginal,20202,15817,836,23409,0.03448133635801196,0.605186960211672,0.5843193050771305
Non-Aboriginal,20203,3637,218,4981,0.0419311406039623,0.588388411045722,0.5637166138524219
Non-Aboriginal,20301,4909,292,11149,0.02552224455904204,0.6997553516819572,0.6818960244648318
Non-Aboriginal,20302,57194,4889,101391,0.04600112909296199,0.6501339662576312,0.6202270697480945
Non-Aboriginal,20303,26940,1443,43131,0.032373132319289274,0.6232905445087675,0.6031126772380233
Non-Aboriginal,20401,17941,993,26373,0.03628590221442666,0.6040126249806873,0.5820954819343589
Non-Aboriginal,20402,14421,667,21784,0.02970914435882589,0.608890214797136,0.5908006075070514
Non-Aboriginal,20403,20094,1239,35861,0.03339622641509434,0.6486694408504389,0.6270063293352449
Non-Aboriginal,20501,16036,1022,26314,0.03738659642961662,0.6302683759107258,0.6067047864982016
Non-Aboriginal,20502,17377,815,18607,0.041962722685614254,0.5277860811435093,0.5056387401831571
Non-Aboriginal,20503,24199,1083,29725,0.03515320695923137,0.560074172378061,0.5403857690839348
Non-Aboriginal,20504,23714,2146,31471,0.06383674926376535,0.5863668870244719,0.5489351310809161
Non-Aboriginal,20505,14351,901,18938,0.04541559554413025,0.580257385200351,0.5539046504825973
Non-Aboriginal,20601,18704,2575,53408,0.04599610596073808,0.7495681979460951,0.7150909796885669
Non-Aboriginal,20602,10964,1362,30851,0.0422810666501102,0.7460685086967599,0.7145239363550038
Non-Aboriginal,20603,15346,1819,38116,0.04554901715287342,0.7224001013006277,0.689495486695248
Non-Aboriginal,20604,30954,7406,89804,0.07618557761547166,0.7584813208077151,0.7006959832714335
Non-Aboriginal,20605,19952,2810,60627,0.044295915632832576,0.7607358284665843,0.7270383383899555
Non-Aboriginal,20606,13363,1534,38335,0.03847600892924327,0.7489667868951007,0.7201495341148182
Non-Aboriginal,20607,16912,2251,57331,0.03777986640260481,0.7789107642429471,0.7494836196302977
Non-Aboriginal,20701,45179,3918,86637,0.04326652310750373,0.6671504560390175,0.6382851754166237
Non-Aboriginal,20702,31818,2618,45078,0.05488929889298893,0.5998440526196644,0.5669190331262419
Non-Aboriginal,20703,30684,3175,52834,0.05668731810958953,0.6460613890394842,0.6094379015606797
Non-Aboriginal,20801,27788,2049,50291,0.03914787925105082,0.6532048722044729,0.6276332867412141
Non-Aboriginal,20802,36644,3682,83482,0.042242210086733054,0.704025588007237,0.6742859912121996
Non-Aboriginal,20803,30055,2643,63867,0.0397383852052323,0.6887588670843473,0.6613887019106302
Non-Aboriginal,20804,10484,1087,22690,0.04571644866888169,0.6939960888473775,0.6622690522751817
Non-Aboriginal,20901,33059,2829,63430,0.04269608656937171,0.6671398940776093,0.6386556314061902
Non-Aboriginal,20902,24953,3004,47467,0.05951932793089101,0.6691636614340263,0.6293354900296988
Non-Aboriginal,20903,15565,1272,35552,0.034542689550293285,0.702895646032564,0.6786157399454084
Non-Aboriginal,20904,61911,7158,116906,0.05769602785659015,0.6671004167226777,0.6286113724963033
Non-Aboriginal,21001,17770,1390,29738,0.04465433050629658,0.6365904535972842,0.6081639330851978
Non-Aboriginal,21002,7596,513,16336,0.030446910795892932,0.6892616076907343,0.6682757210063408
Non-Aboriginal,21003,20659,2295,38423,0.05636327913944693,0.6634081170471023,0.6260162601626016
Non-Aboriginal,21004,10288,1065,22977,0.044297479411030696,0.7003204194581998,0.6692979900961258
Non-Aboriginal,21005,57095,7332,81894,0.08217335754152377,0.6097962698450666,0.5596872629356004
Non-Aboriginal,21101,41784,3745,80964,0.04421017837537924,0.669673420663594,0.6400670392828062
Non-Aboriginal,21102,7288,588,13309,0.04231129020651939,0.6559830068444654,0.628227519471324
Non-Aboriginal,21103,28662,2434,58350,0.04004343248223217,0.6795608523578472,0.6523489032488876
Non-Aboriginal,21104,17645,1524,30561,0.04749883122954652,0.6451839935652524,0.6145385079428917
Non-Aboriginal,21105,38379,2866,78595,0.035182479959735335,0.679747997329773,0.655832777036048
Non-Aboriginal,21201,24921,2588,58233,0.04255109255027047,0.7093489771640503,0.6791654031863031
Non-Aboriginal,21202,35730,3987,64286,0.05839790253833873,0.6564522177244887,0.6181167850927377
Non-Aboriginal,21203,47775,6327,108093,0.055296276874672264,0.705447146952742,0.6664385461943957
Non-Aboriginal,21204,59851,6268,84357,0.06916413793103449,0.6022555091841888,0.5606010260772482
Non-Aboriginal,21205,53606,5457,87520,0.05869193456446218,0.6342959279043272,0.5970678728092617
Non-Aboriginal,21301,56976,6864,78492,0.08041613946295516,0.5996964842761993,0.5514712081612005
Non-Aboriginal,21302,21806,2238,42456,0.05007383541414955,0.6720902255639097,0.6384360902255639
Non-Aboriginal,21303,17697,2822,46669,0.0570204683679861,0.7366047508483657,0.6946032029529082
Non-Aboriginal,21304,45229,5898,89762,0.06165586452017562,0.6789742279383061,0.637111484927851
Non-Aboriginal,21305,59857,9971,136994,0.06784608580274215,0.7105868814729575,0.6623763429422402
Non-Aboriginal,21401,34488,3234,67753,0.04555763731387437,0.6730220431381844,0.6423607489926523
Non-Aboriginal,21402,53785,2539,74811,0.03282482223658694,0.5898501544210165,0.5704884279559232
Non-Aboriginal,21501,18432,859,26484,0.031415718831145086,0.5973347897323866,0.5785690879300929
Non-Aboriginal,21502,15172,1248,24260,0.048925827191469345,0.6270403146509341,0.5963618485742379
Non-Aboriginal,21503,10741,536,16437,0.031579567548459316,0.6124341488056578,0.5930937432344663
Non-Aboriginal,21601,11279,581,17009,0.03303013075611143,0.6093040978211923,0.5891787037999238
Non-Aboriginal,21602,9869,443,12566,0.03405334768237374,0.5686248797971851,0.5492612990646035
Non-Aboriginal,21603,18340,1339,29127,0.043950633493074244,0.6242265295250584,0.5967913781092489
Non-Aboriginal,21701,11237,600,16178,0.0357611157468113,0.5988934499375335,0.5774763519543102
Non-Aboriginal,21703,10868,499,17912,0.027103362120471458,0.6288124594419209,0.6117695276478021
Non-Aboriginal,21704,13683,723,25376,0.027702210812674814,0.6560504750892363,0.6378764265245589
Non-Aboriginal,29797,0,0,11,0,1,1
Non-Aboriginal,29999,2288,458,1755,0.2069588793492996,0.49166851810708734,0.3899133525883137
Aboriginal,20101,534,80,660,0.10810810810810811,0.5808477237048666,0.5180533751962323
Aboriginal,20102,85,7,127,0.05223880597014925,0.6118721461187214,0.5799086757990868
Aboriginal,20103,181,13,124,0.0948905109489051,0.4308176100628931,0.389937106918239
Aboriginal,20201,567,84,790,0.09610983981693363,0.6065232477446217,0.5482303955586398
Aboriginal,20202,193,13,225,0.0546218487394958,0.5522041763341067,0.5220417633410673
Aboriginal,20203,77,12,86,0.12244897959183673,0.56,0.49142857142857144
Aboriginal,20301,50,0,95,0,0.6551724137931034,0.6551724137931034
Aboriginal,20302,849,121,1013,0.10670194003527336,0.5718608169440242,0.5108421583459405
Aboriginal,20303,156,19,304,0.058823529411764705,0.6743215031315241,0.6346555323590815
Aboriginal,20401,252,37,391,0.08644859813084112,0.6294117647058823,0.575
Aboriginal,20402,250,26,303,0.0790273556231003,0.5682210708117443,0.5233160621761658
Aboriginal,20403,453,59,610,0.08819133034379671,0.5962566844919787,0.5436720142602496
Aboriginal,20501,159,20,273,0.06825938566552901,0.6482300884955752,0.6039823008849557
Aboriginal,20502,484,54,495,0.09836065573770492,0.5314617618586641,0.4791868344627299
Aboriginal,20503,223,17,283,0.056666666666666664,0.5736137667304015,0.5411089866156787
Aboriginal,20504,400,94,420,0.1828793774319066,0.562363238512035,0.45951859956236324
Aboriginal,20505,299,43,248,0.14776632302405499,0.49322033898305084,0.42033898305084744
Aboriginal,20601,125,26,345,0.07008086253369272,0.7479838709677419,0.6955645161290323
Aboriginal,20602,90,12,180,0.0625,0.6808510638297872,0.6382978723404256
Aboriginal,20603,78,14,177,0.07329842931937172,0.7100371747211895,0.6579925650557621
Aboriginal,20604,218,57,411,0.12179487179487179,0.6822157434402333,0.5991253644314869
Aboriginal,20605,114,19,290,0.061488673139158574,0.7304964539007093,0.6855791962174941
Aboriginal,20606,41,4,160,0.024390243902439025,0.8,0.7804878048780488
Aboriginal,20607,121,12,276,0.041666666666666664,0.7041564792176039,0.6748166259168704
Aboriginal,20701,98,21,229,0.084,0.7183908045977011,0.6580459770114943
Aboriginal,20702,35,9,82,0.0989010989010989,0.7222222222222222,0.6507936507936508
Aboriginal,20703,86,22,125,0.14965986394557823,0.630901287553648,0.5364806866952789
Aboriginal,20801,68,9,109,0.07627118644067797,0.6344086021505376,0.5860215053763441
Aboriginal,20802,94,10,215,0.044444444444444446,0.7053291536050157,0.6739811912225705
Aboriginal,20803,129,16,275,0.054982817869415807,0.6928571428571428,0.6547619047619048
Aboriginal,20804,21,7,60,0.1044776119402985,0.7613636363636364,0.6818181818181818
Aboriginal,20901,225,37,352,0.09511568123393316,0.6335504885993485,0.5732899022801303
Aboriginal,20902,319,42,420,0.09090909090909091,0.5915492957746479,0.5377720870678617
Aboriginal,20903,75,6,185,0.031413612565445025,0.7180451127819549,0.6954887218045113
Aboriginal,20904,540,87,960,0.0830945558739255,0.6597353497164461,0.6049149338374291
Aboriginal,21001,53,12,92,0.11538461538461539,0.6624203821656051,0.5859872611464968
Aboriginal,21002,50,4,131,0.02962962962962963,0.7297297297297297,0.7081081081081081
Aboriginal,21003,119,13,198,0.061611374407582936,0.6393939393939394,0.6
Aboriginal,21004,108,14,247,0.05363984674329502,0.7073170731707317,0.6693766937669376
Aboriginal,21005,350,49,444,0.09939148073022312,0.5848161328588375,0.5266903914590747
Aboriginal,21101,237,33,436,0.07036247334754797,0.6643059490084986,0.6175637393767706
Aboriginal,21102,20,0,37,0,0.6491228070175439,0.6491228070175439
Aboriginal,21103,179,23,300,0.07120743034055728,0.6434262948207171,0.5976095617529881
Aboriginal,21104,67,3,53,0.05357142857142857,0.45528455284552843,0.43089430894308944
Aboriginal,21105,377,39,698,0.052917232021709636,0.6615798922800719,0.6265709156193896
